INFO: Waiting for solution ...
INFO: Algorithm took 0.106 seconds.
INFO: Step 103 - from (5, 3) to (0, 3) ; cost 5
INFO: Step 104 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 105 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 106 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 107 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 108 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 109 - from (5, 3) to (1, 3) ; cost 4
INFO: Step 110 - from (0, 3) to (0, 6) ; cost 3
INFO: Step 111 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 112 - from (1, 3) to (1, 6) ; cost 3
INFO: Step 113 - from (1, 6) to (0, 6) ; cost 1
INFO: Step 114 - from (0, 0) to (5, 0) ; cost 5
INFO: Step 115 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 116 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 117 - from (5, 0) to (5, 3) ; cost 3
INFO: Step 118 - from (5, 3) to (5, 0) ; cost 3
INFO: Step 119 - from (5, 0) to (0, 0) ; cost 5
INFO: Step 120 - from (0, 0) to (0, 5) ; cost 5
INFO: Step 121 - from (0, 6) to (5, 6) ; cost 5
INFO: Step 122 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 123 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 124 - from (5, 5) to (5, 6) ; cost 1
INFO: Step 125 - from (5, 6) to (1, 6) ; cost 4
INFO: Step 126 - from (1, 6) to (5, 6) ; cost 4
INFO: Step 127 - from (5, 6) to (1, 6) ; cost 4
INFO: Step 128 - from (1, 6) to (5, 6) ; cost 4
INFO: Step 129 - from (0, 6) to (0, 0) ; cost 6
INFO: Step 130 - from (5, 6) to (0, 6) ; cost 5
INFO: Step 131 - from (0, 0) to (0, 5) ; cost 5
INFO: Step 132 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 133 - from (5, 5) to (0, 5) ; cost 5
INFO: Step 134 - from (0, 5) to (5, 5) ; cost 5
INFO: Step 135 - from (5, 5) to (5, 6) ; cost 1
